"","Pct_Chg","Exchange","X1Y_Yield_d","X1Y_Yield_f","Int_d","Int_f","Infl_d","Infl_f","GDPG_d","GDPG_f","BOT_f","BOT_d","FER_f","lag1.Exchange","lag1.X1Y_Yield_d","lag1.X1Y_Yield_f","lag1.Infl_d","lag1.Infl_f","lag1.Int_d","lag1.Int_f","lag2.Exchange","lag2.X1Y_Yield_d","lag2.X1Y_Yield_f","lag2.Infl_d","lag2.Infl_f","lag2.Int_d","lag2.Int_f","lag3.Exchange","lag3.X1Y_Yield_d","lag3.X1Y_Yield_f","lag3.Infl_d","lag3.Infl_f","lag3.Int_d","lag3.Int_f","lag4.Exchange","lag4.X1Y_Yield_d","lag4.X1Y_Yield_f","lag4.Infl_d","lag4.Infl_f","lag4.Int_d","lag4.Int_f","lag5.Exchange","lag5.X1Y_Yield_d","lag5.X1Y_Yield_f","lag5.Infl_d","lag5.Infl_f","lag5.Int_d","lag5.Int_f","lag6.Exchange","lag6.X1Y_Yield_d","lag6.X1Y_Yield_f","lag6.Infl_d","lag6.Infl_f","lag6.Int_d","lag6.Int_f","lag7.Exchange","lag7.X1Y_Yield_d","lag7.X1Y_Yield_f","lag7.Infl_d","lag7.Infl_f","lag7.Int_d","lag7.Int_f","lag8.Exchange","lag8.X1Y_Yield_d","lag8.X1Y_Yield_f","lag8.Infl_d","lag8.Infl_f","lag8.Int_d","lag8.Int_f","lag9.Exchange","lag9.X1Y_Yield_d","lag9.X1Y_Yield_f","lag9.Infl_d","lag9.Infl_f","lag9.Int_d","lag9.Int_f"
"109",-0.125959796393754,0.987069390978186,4.83068841562487,1.24730112000757,5.5,3,2.7,1.9,-88518.413008859,-3.47570487664248,-7717.2,-27088,256197,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5,0.942951438000943,4.18033156034448,0.9415820302083,2.3,1.2,5,2.5,0.964320154291225,3.66560820006141,0.773915110785015,2.1,1.1,5,2.5,0.963669654042594,3.3,0.7,2,0.9,5,2.5,0.940733772342427,2.92621159028212,0.779475489375955,2.1,1,4.75,2.5,0.934492103541725,2.78108579812036,0.898532503446974,2.3,1.1,4.75,3
"110",-0.122199410872085,1.01688021151108,2.18759754407345,1.29718796618387,5.5,3,3.2,1.9,-93250.7537511507,-3.30307438327369,-2372.5,-29930,254551,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5,0.942951438000943,4.18033156034448,0.9415820302083,2.3,1.2,5,2.5,0.964320154291225,3.66560820006141,0.773915110785015,2.1,1.1,5,2.5,0.963669654042594,3.3,0.7,2,0.9,5,2.5,0.940733772342427,2.92621159028212,0.779475489375955,2.1,1,4.75,2.5
"111",-0.114183354767591,1.03702167375298,1.2,1.3,5.75,3.25,3.8,1.9,-96811,-3.77,-458.7,-31154,256904,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5,0.942951438000943,4.18033156034448,0.9415820302083,2.3,1.2,5,2.5,0.964320154291225,3.66560820006141,0.773915110785015,2.1,1.1,5,2.5,0.963669654042594,3.3,0.7,2,0.9,5,2.5
"112",-0.116998411363421,1.05831304899989,3.13187604697765,1.21980328137158,6,3.5,3.1,1.7,-98086.7980649339,-4.85114993611986,-2201.3,-28800,252820,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5,0.942951438000943,4.18033156034448,0.9415820302083,2.3,1.2,5,2.5,0.964320154291225,3.66560820006141,0.773915110785015,2.1,1.1,5,2.5
"113",-0.147789275634997,1.10387459984546,6.18603654425512,1.07557026399221,6,3.75,3.2,1.7,-98184.468401088,-6.14829931770018,-3422.8,-29813,252956,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5,0.942951438000943,4.18033156034448,0.9415820302083,2.3,1.2,5,2.5
"114",-0.0840319938325158,1.05207785376118,7.8,0.9,6.5,3.75,3.7,2.1,-98765,-7.17,-1651.2,-30966,253695,1.10387459984546,6.18603654425512,1.07557026399221,3.2,1.7,6,3.75,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5,0.952653138992093,5.1,1.1,2.6,1.2,5.25,2.5
"115",-0.0948891031822547,1.06541657788195,6.2306962853534,0.72533760635798,6.5,4.25,3.7,2,-100996.913249924,-7.56784352702624,1830.1,-31426,251289,1.05207785376118,7.8,0.9,3.7,2.1,6.5,3.75,1.10387459984546,6.18603654425512,1.07557026399221,3.2,1.7,6,3.75,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5,0.934055669717915,6.4675925127451,1.17247372007963,2.6,1.4,5.25,2.5
"116",-0.147100424328144,1.10558319513543,3.0127007233505,0.582012459328795,6.5,4.5,3.4,2,-104078.854125979,-7.56558019777743,-3535.8,-30035,248319,1.06541657788195,6.2306962853534,0.72533760635798,3.7,2,6.5,4.25,1.05207785376118,7.8,0.9,3.7,2.1,6.5,3.75,1.10387459984546,6.18603654425512,1.07557026399221,3.2,1.7,6,3.75,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3,0.968241673121611,7.47468439056218,1.18752972312418,2.6,1.5,5.25,2.5
"117",-0.171668095646379,1.15008625646924,0.499999999999999,0.5,6.5,4.5,3.5,2.5,-106717,-7.53,-3530.8,-34018,248347,1.10558319513543,3.0127007233505,0.582012459328795,3.4,2,6.5,4.5,1.06541657788195,6.2306962853534,0.72533760635798,3.7,2,6.5,4.25,1.05207785376118,7.8,0.9,3.7,2.1,6.5,3.75,1.10387459984546,6.18603654425512,1.07557026399221,3.2,1.7,6,3.75,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3,0.989119683481701,7.1,1.2,2.7,1.7,5.5,3
"118",-0.203717541565479,1.17302052785924,0.363857330127262,0.501068515418725,6.5,4.5,3.4,2.4,-107966.919305741,-7.71192040021963,-2224.4,-33224,244781,1.15008625646924,0.499999999999999,0.5,3.5,2.5,6.5,4.5,1.10558319513543,3.0127007233505,0.582012459328795,3.4,2,6.5,4.5,1.06541657788195,6.2306962853534,0.72533760635798,3.7,2,6.5,4.25,1.05207785376118,7.8,0.9,3.7,2.1,6.5,3.75,1.10387459984546,6.18603654425512,1.07557026399221,3.2,1.7,6,3.75,1.05831304899989,3.13187604697765,1.21980328137158,3.1,1.7,6,3.5,1.03702167375298,1.2,1.3,3.8,1.9,5.75,3.25,1.01688021151108,2.18759754407345,1.29718796618387,3.2,1.9,5.5,3,0.987069390978186,4.83068841562487,1.24730112000757,2.7,1.9,5.5,3
